Fecha,Rating,Titulo,Reviews
"August 26, 2017",50,Lugar típico,Un ambiente típico para desayunar platos típicos de la Ciudad! Pequeño lugar pero clásico! Los sabores buenos
"August 16, 2017",40,Un pedazo de historia,Este es un clásico bogotano. Es un muy buen sitio para probar tamal con chocolate y almojábanas. Este establecimiento tiene 200 años de historia y es una muy buena opción cuando se visita el centro histórico de Bogotá
"August 15, 2017",40,Calsico de Comida local,Lugar para llevar a un turista a probar un buen ajiaco aunque me parece un poco costoso la comida es muy rica
"August 14, 2017",40,Visita Obligada en Bogotá,"El lugar es pequeñito, pero muy acogedor, guarda la estructura de la época en que fue construido lo que lo hace muy interesante, el ajiaco espesito, grande, con mucho pollo, pero EXTREMADAMENTE SALADO, la verdad ese fue el punto negro de la visita... los jugos naturales son algo costosos y no son preparados al instante, por lo que no son tan apetecibles. El chocolate es especito y huele muy rico... los tamales son grandes, por lo que justifican el precio que tienen. Vale la pena hacer la fila, y sentirse en la Bogotá de hace 200 años."
"June 8, 2017",50,Imperdible,"Un clásico bogotano para comer tamales y dulces tradicionales. Imperdible, el ambiente, además, es muy simpático"
"May 20, 2017",50,familiar,un sitio con mucha historia he ido varias veces el servicio bueno aunque un poco congestionado gracias
"May 10, 2017",50,OBLIGADO,"tienen que ir y probar las delicias tipicas de Colombia, parada obligada en su visita al centro DELICIOSO"
"May 2, 2017",50,Delicioso desayuno Santafereño,"En el centro de Bogota, un lugar para disfrutar un delicioso desayuno tradicional, jugos naturales y adecuada atención."
"April 13, 2017",40,Chocolatico santafereño,"Siempre que voy disfruto de un rico chocolate,tanatorio, almojabana, pancito fresco y queso. En el centro de Bogotá."
"March 26, 2017",50,Tradicional y exquisita comida típica,"Un lugar con más de 200 años de antigüedad, la comida exquisita, maravillosa, en el centro de Bogotá..exquisito"
"February 20, 2017",40,Ricooo,"Excelente lugar para comer comida típica, la atención fue rápida y cordial. Lo único malo es que se llena"
"October 17, 2016",50,Excelente,"Me encantó .. un lugar lleno de historia que vale la pena visitar, el chocolate los tamales deliciosos! Lo máximo!"
"September 24, 2016",40,Gourmet !!,Rico ! Tradicional !! Bueno conocer !!! Demasiado pequeño el lugar y toco esperar por lugar para sentarnos !!
"September 21, 2016",50,Tour gastronomico en Bogota,Delicias tipicas de Bogota. Colombia. Golosinas tradicionales.tamal con chocolate y pan con mantequilla. Hummmm que delicia.
"September 21, 2016",50,Excelentes Tamales y Ajiaco,"Todo excelente, buena atención es un restaurante pequeño pero vale la pena 100% recomendado, sencillo,pintoresco y acogedor"
"August 26, 2016",50,Desayuno ideal Bogotano,"Servicio rápido, con un sabor excelente. Chocolate especiado, delicioso para derretir queso en su interior, almojábanas, deliciosos tamales. Buenos precios"
"August 21, 2016",40,Para desayunar y comer tamales,"Deliciosos los tamales, la Changua grandísima...pequeñito, incomodo, pero inolvidable. Los precios accesibles, todo fresco!"
"August 13, 2016",30,Esta bien,El ajiaco es de buen sabor pero el nuestro estuvo muy espeso. Buena atencion. Recomendado para conocer algo tipico.
"August 11, 2016",40,Salón de Onces Representativo de Bogotá,Es un Restaurante donde encuentras la mayoría de la comida típica Bogotana. Es económico y muy acogedor.
"July 24, 2016",30,"Si quieres conocer el desayuno tradicional de Bogotá, este es el lugar","Muy buen chocolate y almojábanas, un servicio rapidísimo, la atención es buena. El menú es limitado, sólo hay comida tradicional."
"July 20, 2016",40,Con amigos de Puerto Rico,Un sitio para recomendar a otros países ya que muestra la arquitectura de la zona y nuestra gastronomía!
"May 25, 2016",30,Haz fama y....,El sitio tipico para tomar onces como chocolate o agua de panela con queso y almojabana..hasta tamales...pare de contar....
"April 24, 2016",50,Delicioso,"Muy rico los tamales, demasiado rico muy recomendado un sitio xon una decoración muy colonial delicioso"
"March 15, 2016",40,Lindo desayuno,"El lugar es bastante acogedor, sin mencionar lo delicioso que estuvo todo. Muy buena atención y ambiente colonial"
"February 16, 2016",50,historiaaaaa,"un lugar que se queda en el tiempo, pero que sigue con una calidad intacta...hay que venirrrrr es delicioso todo"
"January 8, 2016",40,Restaurante histórico Bogotano,"Buen servicio, precio justo. Instalaciones que guardan la Historia. Amplia carta de platos típicos y dulces!!!"
"October 29, 2015",40,El tamal,"El tamal insuperable así como el viaje en el tiempo lo es. Lo demás, más o menos, carece de variedad."
"October 13, 2015",40,"Bogotano típico, buena relación calidad-precio","Buscando un clásico tamal con chocolate llegamos a la puerta falsa. Excelente receta, muy buenos precios, excelente atención."
"September 16, 2015",40,tamal espectacular,"los tamales, el jugo de naranja, el chocolate, típicos santafereños que delicia. súper recomendado a ojo cerrado"
"September 15, 2015",40,Buena opcion en el centro,"Un lugar pequeño, con casi 200 años de tradición. Recomiendo pedir la aguadepanela, el tamal, o el chocolate con queso."
"September 7, 2015",40,"Tradición, historia y buen comer",Venir al centro de Bogotá requiere una entrada obligatoria a degustar las delicias típicas de la cocina local. Muy recomendado
"August 20, 2015",50,UN LUGAR TRADICIONAL Y DELICIOSO,"Un sitio realmente hermoso y tradicional, podrás comer los mejores tamales y el mejor postre de natas, excelente atención"
"July 16, 2015",40,Ideal para un paseo por el centro,"Buenos desayunos tipicos colombianos, como por exemplo el chocolate con queso. Ideal para un paseo por el centro"
"June 29, 2015",30,normal,"Comí tamal con chocolate, es rico pero no excepcional, precio acorde, es sitio es para este tipo de comidas"
"April 7, 2015",50,"El sabor de siempre, siempre rico!!!",Lo mejor de la Puerta falsa el tamalito con una buena agua-panela con queso y rematando una calientica almojabana
"March 27, 2015",10,Tomar onces,"Es buena la atencion, buena oferta de diferentes platos y agradable el sitio. Ya lo he visato varias veces."
"July 23, 2014",40,Hay que ir una vez en la vida...,"Comida tipica Colombiana, muy buena y a precios accesibles. Ajiaco, Frijoles, Bandeja, Tamales, Agua de Panela, etc."
"June 9, 2013",50,buen lugar para estar con amigos,me gusta el ambiente lastima que siempre lleno pero es una lugar muy agradable para pasar con amigos
"November 11, 2013",20,Sin sentido del servicio / Forced to take n pay items not wanted,"Decepcionante actitud ante la solicitud de una taza extra de chocolate, me querian forzar a tomar un combo completo de su oferta, nunca me habia ocurrido en ningun lugar del mundo algo asi, el Lugar es simpático por su bagage histórico, la comida está aceptable, aunque manejan volumenes, lo q si desentonó fué que ante mi reclamo por un sólo plato sin tener que tomar un combo completo, es que me dijeran que si no me gustaba me fuera a otra parte, INSÓLITO !!"
"October 9, 2013",50,Para probar el chocolate!!!,"Muy buena opción para probar las oncenas, las meriendas colombianas, que consisten en chocolate caliente o aguapaela con queso derretido y bollos para acompañar. También se pueden degustar los típicos tamales como plato típico de Bogota. Un clásico en el centro, muy concurrido por locales y turistas.Merece la pena un descanso después de pasear por la zona y degustar algo."
"October 8, 2013",50,Un sitio imperdible en Bogotá,"Es un restaurante pequeño, la comida típica es deliciosa, el ajiaco, los frijoles, el sancocho etc. No te puedes perder el tradicional tamal con chocolate santafereño, las aromáticas de frutas y los postres de natas."
"October 1, 2013",50,IMPERDIBLE VIAJE EN EL TIEMPO,"Un lugar que data de 1816. Qué más te puedo decir? Si querés conocer Bogotá, tenés que meterte en estos lugares. Es chiquito, tradicional, especial y super económico. Mi recomiendación es que vale la pena incluso ir a desayunar ahí, en lugar de pagar desayuno en el hotel. El chocolate completo (que viene chocolate caliente acompañado con panes y queso) sale 6 mil pesos colombianos. También son muy recomendables los huevos revueltos con todo (así se llaman ""con todo"" porque vienen con muchas cosas) por 4500 pesos colombianos, y los tamales (si no mal recuerdo sale unos 6 mil pesos colombianos, es una comida de choclo con pollo, papas, etc.). La verdad, en absolutamente todos lados recomiendan ir a este lugar. Incluso en la Lonely Planet. Es IMPERDIBLE."
"September 19, 2013",50,Me encanta!,"La comida es deliciosa, a muy buen precio y el lugar tiene un ambiente tan casero y tradicional, que uno se siente como en familia. Me gustó tanto, que les hice una entrevista para mi blog http://memoriadespierta.blogspot.com.ar/2012/10/la-puerta-falsa-un-baul-de-recuerdos.html."
"August 24, 2013",40,Histórico y muy recomendable.,"Lugar histórico, cerca de la Plaza Bolívar. Platos sabrosos, nos recomendaron Ajiaco y tamales, excelentes!! Buenos precios y servicio muy correcto, un poco pequeño el lugar pero se acostumbra a comer al paso. Lo recomiendo!!"
"August 13, 2013",50,Tradicional y muy rico,"Local con historia ( el mas antiguo de Bogotá ) a pocos metros de la Plaza Bolívar, no se lo pierdan."
"July 16, 2013",40,Delicioso plan santafereño,"Es superrico ir a La puerta Falsa a comer tamal con chocolate. A pesar de que el chocolate es hecho a la manera tradicional, con agua, vale la pena visitar este sitio que creo es el restaurante más antiguo de Bogotá."
"June 13, 2013",50,comida tipica bogotana,"es un pequeño rinconcito cerca a la catedral de Bogota, imperdible los tamales santafereños acompañados de un buen chocolate, todas las variedades de dulces tipicos de la region ademas de ser un lugar emblematico de Bogota, les sugiero probar el jugo de Feijoa en leche, es un jugo delicioso y pueden acompañar sus comidas con el."
"June 9, 2013",50,buen lugar para estar con amigos,me gusta el ambiente lastima que siempre lleno pero es una lugar muy agradable para pasar con amigos
"February 28, 2013",50,Supremo,"Buen menu, el sabor de las cosas es delicioso. Tiene todos los ingredientes de la cocina tradicional colombiana."
"February 19, 2013",50,Deliciosa Mazamorra dulce,Muy buen sabor en cada plato. Hacia mucho tiempo no probaba una mazamorra dulce. Y que decir del super ajiaco.
"February 13, 2013",50,Delicias boogotanas,Calientica y deliciosa agua de panela con almojabana y queso especial para los frios bogotanos. Dulces y comidas típicas.
"December 11, 2012",50,Riquisimo,"La comida estaba deliciosa a buen precio, esta un poco chico , pero el ambiente es muy familiar y agradable"
"October 12, 2012",40,Bueno para las onces o medias nueves,"Buena calidad, el problema pero así seguira es el tamaño del local. Los chorizitos son únicos por su sabor."
"June 2, 2012",50,chocolate delicioso,un buenísimo chocolate en taza que se disfruta hasta el último sorbo
"February 22, 2012",40,Uno de mis planes favoritos,"Se trata de uno de los restaurantes más antiguos, los tradicionales tamales son exquisitos."
"January 6, 2012",50,clásico en Bogotá,"deben conocer sus tamales, y el típico chocolatico con almojábana .....mujy recomendado especialmente a los no bogotanos"
"July 16, 2012",40,Sitio historico y tipico,"Alli acudia el libertador a tomar el tipico chocolate santafereno con tamal, queso, pan con mantequilla y almojabanos.. la tradicion continua y son de los mejores tamales de la ciudad."
"June 2, 2012",50,chocolate delicioso,un buenísimo chocolate en taza que se disfruta hasta el último sorbo
"April 2, 2012",50,Obligatorio,"El sitio es incomodísimo, pequeñito. Hay que hacerse camino entre la genta y las cajas de tamales. El chocolate hecho en agua es horroroso y el segundo piso da risa. Pero es un lugar profundamente bogotano. Desde el momento en que se entra la sensación que da el lugar con el público específico que va, los muebles viejos y baratos y la única vista a la calle, es de ir al pasado. Además venden los mejores tamales de Bogotá."
"March 1, 2012",40,Único,"Es un pequeño e incómodo rincón de Bogotá, pero lleno de sabor y de historia. Estupendo desayuno con tamal, almojábana y chocolate. Muy bogotano."
"February 28, 2012",10,"Comida regular, horrible la atención","No se dejen engañar por este lugar que se acostó sobre los laureles de ser el más antiguo de Bogotá. La comida no pasa de regular, los tamales son bastante mediocres así como el resto de los platos y bocados. Si bien los jóvenes mozos son correctos y adecuados para el tipo de lugar, la dueña o manager es una persona horrible que no reconoce los errores y les va a querer cobrar platos devueltos (en nuestro caso, por estar quemado), y si ustedes mantienen su postura de no pagar, se los cobra a sus jóvenes empleados. Impresentable. Hay mejores lugares en la misma cuadra, sigan caminando."
"February 22, 2012",40,Uno de mis planes favoritos,"Se trata de uno de los restaurantes más antiguos, los tradicionales tamales son exquisitos."
"February 10, 2012",40,Pequeño y pintoresco,"El lugar es muy tradicional, de visita casi obligada. Es pequeño y pintoresco y se comen unos exquisitos tamales por muy poco dinero. Vale la pena una visita."
"January 6, 2012",50,clásico en Bogotá,"deben conocer sus tamales, y el típico chocolatico con almojábana .....mujy recomendado especialmente a los no bogotanos"
"January 6, 2012",40,La chocolatería más tradicional de Bogotá. Imperdible!!!!,"La mejor chocolatería y los mejores tamales de Bogotá; además de las marquesas y las cocadas!!! Lo único malo es que es pequeño y casi siempre está lleno, pero por el sitio creo que hace parte de su encanto"
"July 16, 2012",40,Sitio historico y tipico,"Alli acudia el libertador a tomar el tipico chocolate santafereno con tamal, queso, pan con mantequilla y almojabanos.. la tradicion continua y son de los mejores tamales de la ciudad."
"June 2, 2012",50,chocolate delicioso,un buenísimo chocolate en taza que se disfruta hasta el último sorbo
"April 2, 2012",50,Obligatorio,"El sitio es incomodísimo, pequeñito. Hay que hacerse camino entre la genta y las cajas de tamales. El chocolate hecho en agua es horroroso y el segundo piso da risa. Pero es un lugar profundamente bogotano. Desde el momento en que se entra la sensación que da el lugar con el público específico que va, los muebles viejos y baratos y la única vista a la calle, es de ir al pasado. Además venden los mejores tamales de Bogotá."
"March 1, 2012",40,Único,"Es un pequeño e incómodo rincón de Bogotá, pero lleno de sabor y de historia. Estupendo desayuno con tamal, almojábana y chocolate. Muy bogotano."
"February 28, 2012",10,"Comida regular, horrible la atención","No se dejen engañar por este lugar que se acostó sobre los laureles de ser el más antiguo de Bogotá. La comida no pasa de regular, los tamales son bastante mediocres así como el resto de los platos y bocados. Si bien los jóvenes mozos son correctos y adecuados para el tipo de lugar, la dueña o manager es una persona horrible que no reconoce los errores y les va a querer cobrar platos devueltos (en nuestro caso, por estar quemado), y si ustedes mantienen su postura de no pagar, se los cobra a sus jóvenes empleados. Impresentable. Hay mejores lugares en la misma cuadra, sigan caminando."
"February 22, 2012",40,Uno de mis planes favoritos,"Se trata de uno de los restaurantes más antiguos, los tradicionales tamales son exquisitos."
"February 10, 2012",40,Pequeño y pintoresco,"El lugar es muy tradicional, de visita casi obligada. Es pequeño y pintoresco y se comen unos exquisitos tamales por muy poco dinero. Vale la pena una visita."
"January 6, 2012",50,clásico en Bogotá,"deben conocer sus tamales, y el típico chocolatico con almojábana .....mujy recomendado especialmente a los no bogotanos"
"January 6, 2012",40,La chocolatería más tradicional de Bogotá. Imperdible!!!!,"La mejor chocolatería y los mejores tamales de Bogotá; además de las marquesas y las cocadas!!! Lo único malo es que es pequeño y casi siempre está lleno, pero por el sitio creo que hace parte de su encanto"
